conceptUri,preferredLabel,altLabels,skillType,reuseLevel,description
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,identify available services,"determine available services
classify available services
classify rehabilitation services
analyse rehabilitation services
establish rehabilitation services
establish available services
determine rehabilitation services
analyse available services",skill/competence,cross-sector,"Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them."
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,perform toxicological studies,"carry out toxicological studies
apply toxicological testing methods
perform toxicological study
perform toxicological tests",skill/competence,cross-sector,"Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body."
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,show initiative,"initiate action
be a driving force
give impetus
take the initiative
show sense of initiative
show active initiative
demonstrate sense of initiative",skill/competence,transversal,Be proactive and take the first step in an action without waiting for what others say or do.
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,apply diplomatic principles,"administer diplomatic principles
implement diplomatic principles
utilise diplomacy principles
administer diplomacy principles
use diplomatic principles
use diplomacy principles
utilise diplomatic principles
implement diplomacy principles",skill/competence,cross-sector,"Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise."
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,develop energy saving concepts,"develop concepts for energy saving
create energy saving concepts
energy saving concepts creating
creating energy saving concepts
creating concepts for energy saving
energy saving concepts developing
create concepts for energy saving",skill/competence,cross-sector,"Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials."
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,sport and exercise medicine,"sports medicine
sports injury medicine
sports injury treatment
exercise and sports medicine",knowledge,cross-sector,Prevention and treatement of injuries or conditions resulted from a physical activity or sport.
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,install heat pump,"installation of heat pumps
commissioning heat pumps
heat pump installing
heat pump commissioning
installation of heat pump
commissioning heat pump
commissioning of heat pumps
heat pump installation
commissioning of heat pump
commission heat pumps
commission heat pump",skill/competence,cross-sector,"Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump."
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,teach housekeeping skills,"teach house keeping skills
teach skills for housekeeping
teach housekeeping skill
teach house-keeping skills
teach domestic science skills
instruct on housekeeping skills
train on housekeeping skills",skill/competence,cross-sector,Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances.
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,influence public policies,"convince policymakers to change policies
communicate with policymakers for lobbying aims
communicate with policymakers to influence policies
lobbying for public policies
communicate with policymakers for lobbying purposes",skill/competence,cross-sector,Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,apply credit risk policy,"administer credit risk policy
apply a credit risk policy
credit risk policy application
implement credit risk policy
utilise credit risk policy
employ credit risk policy",skill/competence,cross-sector,Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.
